Matchday,Start Date,End Date
Matchday 1,6/12/2014,6/12/2014
Matchday 2,6/13/2014,6/13/2014
Matchday 3,6/14/2014,6/14/2014
Matchday 4,6/15/2014,6/15/2014
Matchday 5,5/16/2014,5/16/2014
Matchday 6,6/17/2014,6/17/2014
Matchday 7,6/18/2014,6/18/2014
Matchday 8,6/19/2014,6/19/2014
Matchday 9,6/20/2014,6/20/2014
Matchday 10,6/21/2014,6/21/2014
Matchday 11,6/22/2014,6/22/2014
Matchday 12,6/23/2014,6/23/2014
Matchday 13,6/24/2014,6/24/2014
Matchday 14,6/25/2014,6/25/2014
Matchday 15,6/26/2014,6/26/2014
Round of 16,6/28/2014,7/1/2014
Quarter-finals,7/4/2014,7/5/2014
Semi-finals,7/8/2014,7/9/2014
Match for third place,7/12/2014,7/12/2014
Final,7/13/2014,7/13/2014
